order_number,item_number,product_name,item_sales_units
22765260091,11054,Organic Thick & Chunky Salsa,1
22765260091,11020,Organic Garbanzo Beans,1
22765260091,11028,Organic Blackberry Fruit Spread,1
22765260091,14011,Toasted Coconut Cookie Thins,1
22765260091,11010,2 Pack Organic Shells & White Cheddar,1
22765260091,13009,Organic Fruit Tea & Herbal Sampler Variety Pack,1
22765260091,53018,Steak Knife,1
22765260091,11051,Organic Balsamic Vinaigrette Dressing,1
22761380934,14035,Organic Crushed Pepper & Truffle Oil Popcorn,4
22761380934,61004,Black Hard Cover Bound Notebook,1
22761380934,14012,Chocolate Chip Cookie Thins,1
22761380934,14015,Spicy Jalapeño & Cheddar Flavored Quinoa Puffs,1
22761380934,14009,Organic Aged White Cheddar Popcorn,1
22761380934,11045,Vanilla Cocoa Granola,1
22761380934,14003,Gummy Fish,1
22761380934,14014,White Cheddar Flavored Quinoa Puffs,1
22761380934,14013,Sea Salt Quinoa Chips,1
22761380934,31010,2 Pack Lip Balm,1
22761380934,14008,Organic Olive Oil & Sea Salt Popcorn,2
22758969361,22001,Dish Soap ,1
22758969361,31002,Daily Facial Moisturizer,1
22758969361,31010,2 Pack Lip Balm,1
22757522316,11012,Organic Long Grain Brown Rice,3
22757522316,22001,Dish Soap ,1
22757522316,31008,Gel Hand Soap,2
22757522316,11004,Organic Crunchy Peanut Butter,1
22757522316,12017,Organic Unbleached All-Purpose Wheat Flour,1
22757522316,13007,Organic Green Tea,1
22757522316,14007,Organic Blue Corn Tortilla Chips,2
22757522316,11009,2 Pack Organic Shells & Yellow Cheddar,1
22757522316,11011,Organic Quinoa,1
22757522316,14009,Organic Aged White Cheddar Popcorn,2
22757522316,11045,Vanilla Cocoa Granola,1
22757522316,11001,Organic Honey,1
22757522316,11010,2 Pack Organic Shells & White Cheddar,1
22757522316,11025,Organic Extra Virgin Olive Oil,1
22757522316,12001,Organic Cane Sugar,1
22757522316,12016,Gluten Free Pancake and Waffle Mix,2
22743415910,31008,Gel Hand Soap,1
22743415910,11004,Organic Crunchy Peanut Butter,1
22743415910,14034,Fig & Thyme Crisps,1
22743415910,11026,Organic Balsamic Vinegar of Modena,1
22743415910,11062,Thai Peanut Cooking Sauce,1
22743415910,11001,Organic Honey,1
22743415910,11025,Organic Extra Virgin Olive Oil,1
22743415910,11021,Organic Maple Syrup,1
22743415910,11057,Organic Arrabbiata Pasta Sauce,1
22743415910,11013,Organic Brown Basmati Rice,1
22743415910,11010,2 Pack Organic Shells & White Cheddar,1
22743415910,14016,Organic Honey Graham Crackers,1
22743415910,13008,Organic Chamomile Blend Herbal Tea,1
22739364943,11016,Organic Virgin Coconut Oil,1
22736266383,11027,Organic Strawberry Fruit Spread,1
22736266383,11019,Organic Dark Red Kidney Beans,3
22736266383,11012,Organic Long Grain Brown Rice,2
22736266383,11058,Organic Roasted Garlic Pasta Sauce,1
22736266383,11002,Organic Agave Nectar,1
22736266383,11026,Organic Balsamic Vinegar of Modena,1
22736266383,11044,Blueberry Flax Granola,1
22736266383,11048,Organic Tomato Sauce,3
22736266383,13007,Organic Green Tea,1
22736266383,11062,Thai Peanut Cooking Sauce,1
22736266383,11055,Organic Black Bean & Corn Salsa,1
22736266383,11056,Organic Tomato Basil Pasta Sauce,1
22736266383,11054,Organic Thick & Chunky Salsa,1
22736266383,11001,Organic Honey,1
